"date","timestamp_iso","total","new","pending","scheduled","completed","statuses","pulled_by","duration_ms"
"2026-05-12","2026-05-12T17:04:53.9318956+07:00","51","14","29","7","1","19","gwm_headoffice","1400"
"2026-05-14","2026-05-14T11:56:46.4395011+07:00","52","12","23","16","1","19","gwm_headoffice","1874"
